"ESTADO","CLAVE EDO","Alumnos en universidades públicas est","Gasto est destinado a univ públicas est","Tasa de cobertura bruta en ed básica","Escuelas de ed básica con acceso a internet","Delitos cometidos denunciados","Homicidios registrados al año","Secuestros registrados en el estado","Presupuesto educación","Presupuesto Estatal"," Presupuesto Seguridad Pública","Presupuesto Salud"
"Aguascalientes  ",1,0,0,84.79,263,20301,263,16,3497111000.00,8210177304.96,337878000.00,896557000.00
"Baja California ",2,5073,991467.8,85.55,760,123013,749,103,15976333482.70,28168545491.37,1130818277.52,1147031367.00
"Baja California Sur ",3,3250,105140.7,97.63,300,16261,77,3,2672181237.00,7484224104.00,285582000.00,649010726.00
"Campeche ",4,2816,0,96.00,317,18752,106,0,3180831130.00,12020949230.00,215017326.00,349169081.00
"Chiapas ",7,0,0,92.10,"1,045",49798,586,17,15787376030.30,46955926228.00,1161403664.69,5095922804.89
"Chihuahua ",8,47946,2035285233,82.21,"1,111",9016,111,1,4999450488.00,35410080000.00,875030927.00,1503419725.00
"Coahuila ",5,27662,0,90.76,"1,177",19327,1188,12,11168657000.00,24968800000.00,719806000.00,303416000.00
"Colima ",6,96,0,91.24,255,57208,2914,204,213674804.26,6700000000.00,0.00,19000684.70
"Distrito Federal ",9,0,0,98.66,"3,393",188297,1453,85,380852282.60,45648105606.79,10471672804.87,5501101476.35
"Durango ",10,0,0,87.60,"1,157",15231,1378,37,173626990.00,16125829419.00,209075039.00,58674179.00
"Guanajuato ",11,0,0,90.57,"1,461",84439,1541,78,14032259269.00,40358702540.00,1184404506.13,184545.00
"Guerrero ",12,0,0,95.64,416,27624,1980,51,12259467189.76,30902962638.70,602146500.00,2591472769.65
"Hidalgo ",13,9592,175338729.07,95.74,932,37810,393,15,9039312400.00,21224411424.00,416028800.00,106960400.00
"Jalisco ",14,86792,39766900,88.94,"2,438",71843,1364,17,25402819270.00,65000025000.00,2349236830.00,4502778260.00
"México ",15,14725,838019571,87.16,"3,104",269927,2842,127,20304690509.00,124359232407.00,0,619034404.00
"Michoacán",16,0,0,88.23,708,41210,2265,98,14059128937.00,38714177007.00,1367990491.00,2926962155.00
"Morelos ",17,12311,137489000,89.52,542,46603,998,33,18649000.00,15006181000.00,211500000.00,9043000.00
"Nayarit ",18,0,0,93.50,495,6883,369,4,513311572.98,12197005856.01,8232464.00,105325474.00
"Nuevo León ",19,1,0,92.84,"1,973",46489,704,13,19762904073.00,42690275000.00,1161244379.00,52839429.00
"Oaxaca ",20,17077,0,93.18,"1,241",56611,918,33,0.00,35602024188.00,0.00,0.00
"Puebla ",21,1490,0,89.61,"1,833",68795,1172,27,6995951227.42,43316355829.61,1172641465.70,1922378863.86
"Querétaro ",22,0,0,93.18,457,16390,288,3,132083757.00,16222768368.00,262300347.00,20487094.00
"Quintana Roo ",23,0,0,82.70,319,35785,686,6,61778950.00,13131932685.00,499853671.00,33070000.00
"San Luis Potosí ",24,29988,0,93.28,761,40915,484,21,7036687325.00,23965720655.00,268850820.00,1939158236.00
"Sinaloa ",25,0,0,91.49,"1,465",26702,1986,18,107824724.00,27871298386.00,286964811.00,48564621.00
"Sonora ",26,0,0,87.54,797,30506,981,4,11648749036.00,31818181291.00,1150037402.00,2956399299.00
"Tabasco ",27,0,0,98.31,"1,061",68417,515,16,0.00,0.00,0.00,0.00
"Tamaulipas ",28,464,0,86.83,"1,596",53295,885,52,9805428000.00,28563294000.00,758424000.00,2074723000.00
"Tlaxcala ",29,3399,0,91.14,284,4378,307,3,753833768.11,8679014543.86,294273296.46,713603275.26
"Veracruz",30,3379,42700000,84.86,"1,339",49615,1113,0,23392046309.00,62290000000.00,1169658271.00,3472324973.00
"Yucatán ",31,0,0,91.04,504,56939,202,0,8323742134.00,16740690000.00,860532564.00,2040282696.00
"Zacatecas ",32,5845,38841318,90.96,296,13296,221,31,5891157282.00,16365003078.00,0.00,1243982196.00
